Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,candidates,bios,in_rankingQuestionText,in_itemsToRank,out_itemsInSelectedOrder,candidate,in_numberOfSelections,curItemsToRank,rk,{in_rankingQuestionText} (2jlwo6o),picked,newItemsToRank,ri
10129173,4,i59bxvy,2023-05-01 21:51:04,2023-05-01 21:51:07,0.05,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Alice"",""Aella"",""Jacob""]",Jacob,-1,"[""Jacob""]",2,Alice | Aella,Aella,"[""Jacob""]",Jacob
10129180,5,i59bxvy,2023-05-01 21:51:48,2023-05-01 21:51:55,0.10,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Jacob"",""Alice"",""Aella""]",Jacob,-1,"[""Aella""]",2,Jacob | Alice,Alice,"[""Aella""]",Aella
10129229,5,i59bxvy,2023-05-01 22:01:30,2023-05-01 22:01:39,0.15,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Aella"",""Jacob"",""Alice""]",Jacob,-1,"[""Alice"",""Alice""]",3,Aella | Jacob,Jacob,"[""Alice"",""Alice""]",Alice
10129230,5,i59bxvy,2023-05-01 22:01:44,2023-05-01 22:01:46,0.03,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Alice"",""Aella"",""Jacob""]",Jacob,-1,"[""Jacob""]",2,Alice | Aella,Aella,"[""Jacob""]",Jacob
10129256,5,i59bxvy,2023-05-01 22:08:31,2023-05-01 22:08:49,0.28,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Aella"",""Alice"",""Jacob""]",Jacob,-1,"[""Jacob""]",2,Aella | Alice,Alice,"[""Jacob""]",Jacob
10129259,5,i59bxvy,2023-05-01 22:10:17,2023-05-01 22:10:22,0.08,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Jacob"",""Aella"",""Alice""]",Jacob,-1,"[""Alice""]",2,Jacob | Aella,Aella,"[""Alice""]",Aella
10129325,5,i59bxvy,2023-05-01 22:26:20,2023-05-01 22:27:29,1.15,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Aella""]",Jacob,-1,"[""Alice"",""Jacob"",""Alice"",""Jacob""]",2,Aella,Aella,"[""Alice"",""Jacob"",""Alice"",""Jacob""]",Jacob
10129337,5,i59bxvy,2023-05-01 22:27:43,2023-05-01 22:28:30,0.78,gn32tzo,0,"[""Alice"",""Aella"",""Jacob""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob""]","[""Alice"",""Aella"",""Jacob""]",Jacob,-1,"[""Jacob""]",2,Alice | Aella,Aella,"[""Jacob""]",Jacob
10129340,8,i59bxvy,2023-05-01 22:29:14,2023-05-01 22:30:19,1.08,gn32tzo,0,"[""Alice"",""Aella"",""Jacob"",""William""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable."",""William"":""King of Williamsburg.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob"",""William""]","[""Alice"",""Jacob""]",William,-1,"[""Aella"",""William"",""Aella"",""William""]",3,Alice | Jacob,Jacob,"[""Aella"",""William"",""Aella"",""William""]",William
10129345,9,i59bxvy,2023-05-01 22:30:28,2023-05-01 22:36:31,6.05,gn32tzo,0,"[""Alice"",""Aella"",""Jacob"",""William""]","{""Alice"":""Loves the dark."",""Aella"":""You already know her."",""Jacob"":""Famously disagreeable."",""William"":""King of Williamsburg.""}","Out of these remaining people displayed, which one do you prefer:","[""Alice"",""Aella"",""Jacob"",""William""]","[""Alice"",""Jacob""]",William,-1,"[""Aella"",""William"",""Aella"",""William""]",3,Alice | Jacob,Jacob,"[""Aella"",""William"",""Aella"",""William""]",William
